"par2","NS_1","NS_2","NS_3","ST_1","ST_2","ST_3"
"alpha_spacing",NA,"2.26 (0.0305)",NA,NA,"2.48 (0.0249)",NA
"beta_depth","0.00679 (0.000175)","0.00673 (0.000174)","0.00554 (0.000181)","0.00139 (0.000259)","0.00139 (0.00026)","-0.000212 (0.000272)"
"beta_depth2","-1.72e-05 (8e-07)","-1.69e-05 (8.02e-07)","-1.76e-05 (8.33e-07)","-4.04e-06 (9.74e-07)","-4.11e-06 (9.78e-07)","-2.19e-06 (1.02e-06)"
"beta_geartype_1","  0 (  0)","  0 (  0)","  0 (  0)","  0 (  0)","  0 (  0)","  0 (  0)"
"beta_geartype_2","0.198 (0.0167)","0.312 (0.0138)","0.83 (0.0119)","0.241 (0.0159)","0.339 (0.0131)","0.865 (0.0118)"
"beta_geartype_3","-0.192 (0.0185)","-0.118 (0.0158)","0.794 (0.0121)","0.0148 (0.018)","0.0841 (0.0156)","1.08 (0.0127)"
"beta_spacing",NA,"0.461 (0.247)",NA,NA,"0.248 (NaN)",NA
"beta_year_1","  0 (  0)","  0 (  0)","  0 (  0)","  0 (  0)","  0 (  0)","  0 (  0)"
"beta_year_10","0.196 (0.0222)","0.195 (0.0223)","0.2 (0.0232)","0.073 (0.0591)","0.0623 (0.058)","0.0706 (0.0636)"
"beta_year_11","0.119 (0.022)","0.116 (0.0221)","0.113 (0.023)","0.00146 (0.0588)","-0.00563 (0.0578)","-0.0181 (0.0632)"
"beta_year_12","0.09 (0.0217)","0.0863 (0.0218)","0.0957 (0.0227)","-0.0817 (0.0583)","-0.0913 (0.0572)","-0.0911 (0.0627)"
"beta_year_13","0.0568 (0.0217)","0.0619 (0.0218)","0.0879 (0.0227)","-0.0957 (0.0584)","-0.101 (0.0574)","-0.0581 (0.063)"
"beta_year_14","-0.0849 (0.0216)","-0.0818 (0.0217)","-0.0578 (0.0225)","-0.267 (0.058)","-0.276 (0.057)","-0.257 (0.0624)"
"beta_year_15","-0.186 (0.0215)","-0.186 (0.0216)","-0.152 (0.0225)","-0.365 (0.0579)","-0.377 (0.057)","-0.352 (0.0624)"
"beta_year_16","-0.268 (0.0225)","-0.268 (0.0226)","-0.243 (0.0235)","-0.446 (0.0595)","-0.452 (0.0585)","-0.437 (0.064)"
"beta_year_17","-0.367 (0.0227)","-0.371 (0.0228)","-0.344 (0.0237)","-0.431 (0.0595)","-0.447 (0.0584)","-0.429 (0.0641)"
"beta_year_18","-0.523 (0.0227)","-0.535 (0.0228)","-0.513 (0.0237)","-0.566 (0.0592)","-0.576 (0.0582)","-0.575 (0.0637)"
"beta_year_19","-0.588 (0.0239)","-0.599 (0.024)","-0.561 (0.025)","-0.689 (0.0608)","-0.706 (0.0597)","-0.689 (0.0653)"
"beta_year_2","0.158 (0.0246)","0.162 (0.0247)","0.148 (0.0257)","0.0783 (0.0608)","0.0712 (0.0597)","0.0387 (0.0654)"
"beta_year_20","-0.432 (0.0241)","-0.437 (0.0242)","-0.416 (0.0251)","-0.527 (0.0604)","-0.536 (0.0594)","-0.536 (0.065)"
"beta_year_3","0.19 (0.0241)","0.184 (0.0242)","0.184 (0.0252)","0.063 (0.0604)","0.0556 (0.0595)","0.00478 (0.0651)"
"beta_year_4","0.15 (0.0236)","0.149 (0.0238)","0.122 (0.0247)","0.0592 (0.0605)","0.0326 (0.0595)","-0.0157 (0.0651)"
"beta_year_5","0.0314 (0.0244)","0.0257 (0.0245)","0.00686 (0.0255)","-0.00549 (0.0605)","-0.012 (0.0596)","-0.0534 (0.0652)"
"beta_year_6","0.16 (0.0239)","0.15 (0.024)","0.145 (0.025)","0.0347 (0.0605)","0.0268 (0.0593)","0.0198 (0.065)"
"beta_year_7","0.206 (0.0233)","0.2 (0.0235)","0.208 (0.0244)","0.11 (0.0596)","0.103 (0.0587)","0.0997 (0.0642)"
"beta_year_8","0.254 (0.0233)","0.24 (0.0234)","0.265 (0.0243)","0.119 (0.0604)","0.102 (0.0594)","0.131 (0.065)"
"beta_year_9","0.287 (0.0227)","0.289 (0.0228)","0.306 (0.0237)","0.172 (0.0596)","0.16 (0.0586)","0.169 (0.064)"
"intercept","-1.33 (0.465)","-1.66 (0.0385)","-0.574 (0.0249)","-1.13 (0.335)","-1.62 (0.0623)","-0.523 (0.0602)"
"lambda",NA,"0.239 (0.128)",NA,NA,"0.373 (NaN)",NA
"ln_spacing","-1.35 (0.146)",NA,"  0 (  0)","-1.71 (0.144)",NA,"  0 (  0)"
"max_ehook",NA,"1.16 (0.0106)",NA,NA,"1.23 (0.0135)",NA
"Range","2.1 (  0)","2.1 (  0)","2.1 (  0)","0.437 (0.0118)","0.423 (0.0112)","0.413 (0.0106)"
"Sigma","0.871 (0.00196)","0.878 (0.00197)","0.913 (0.00205)","0.707 (0.00172)","0.708 (0.00172)","0.743 (0.00181)"
"Sigma_vessel","1.11 (  0)","1.11 (  0)","1.11 (  0)","1.11 (  0)","1.11 (  0)","1.11 (  0)"
"SigmaE","0.163 (  0)","0.163 (  0)","0.163 (  0)","0.362 (0.00599)","0.364 (0.0059)","0.408 (0.00637)"
"SigmaO","0.381 (  0)","0.381 (  0)","0.381 (  0)","0.366 (0.0112)","0.378 (0.0115)","0.369 (0.0112)"
